geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNU4-40P,1.3709135353837874,-1.732687004419517,0.3205647685518721,-5.405107405429498,6.476956938424978e-08,1.2033192142926507e-06
AC011595.1,2.5332798522456854,-1.1564106290559115,0.2139662964620577,-5.404639179988686,6.493898275327775e-08,1.2059409612034616e-06
AC069079.1,1.5145985573255334,-2.95542432714556,0.5469818611369058,-5.403148691261331,6.54811347138431e-08,1.2133654262475128e-06
PRDM13,7.612044749103156,-1.8943967603180794,0.3506293967315664,-5.402846361363092,6.559163818984128e-08,1.2148848448556478e-06
ZNF90P1,2.057155875795124,-1.003114613161752,0.18567809192162818,-5.402439258074405,6.574072245276527e-08,1.2165887321816775e-06
AC097460.2,1.4284934566736756,-1.0775801483202985,0.19954549184254966,-5.400172854671943,6.657671619502931e-08,1.2300108516266478e-06
TRH,329.1964489810334,-1.1462382286147543,0.21250752711655155,-5.393871192082953,6.895565828049666e-08,1.2705668829470327e-06
RN7SL711P,1.0939998703555058,-1.5703412677762056,0.29125190128879475,-5.391694477623727,6.979636535024946e-08,1.2843917508040942e-06
IFNK,1.2223307616583943,-1.7708882997254847,0.32850270685090543,-5.390787542366346,7.014957133740689e-08,1.290334303335755e-06
MAGEA11,7.395055104438096,-1.3025013304121016,0.24175854584680692,-5.387612362780534,7.139983831977843e-08,1.309939607985638e-06
GPR1-AS,0.9882139850765355,-1.5766432177717706,0.2926576743672493,-5.387329142079075,7.15124026860157e-08,1.31144022808748e-06
AL136146.2,1.0546379531801544,-1.7081232042670074,0.3171664994303873,-5.385572585171189,7.221438430742214e-08,1.3220381635730344e-06
SYF2P2,1.6804602275488545,-1.057894869610051,0.19644425385380623,-5.385216665066396,7.235743341771451e-08,1.3240882158993451e-06
RNY4,1.5825858814994826,-2.948849886002288,0.5476253814633154,-5.384794032231735,7.252765174822294e-08,1.3266334720418513e-06
ARNTL2-AS1,1.0579254796192628,-1.3101941025784039,0.24332744848123622,-5.384489545902739,7.265052605106725e-08,1.3283109265424432e-06
NCOA7-AS1,1.1369647918973544,-1.6917402636980534,0.3141994060736057,-5.384288547323795,7.273174872045862e-08,1.3292257284379186e-06
AC090953.1,2.005787855109338,-1.167920938851593,0.2169680687748127,-5.382916230239194,7.328865109458102e-08,1.3382557930591038e-06
AL133481.1,1.6427156621459655,-1.0549026354050723,0.1959858002588171,-5.382546255963327,7.343949642736453e-08,1.3404359307228476e-06
AC011242.1,1.0554668160293086,-2.099439820981743,0.3900907648918377,-5.38192648975903,7.369286057771835e-08,1.3444845997267887e-06
AC004986.1,0.9924408170951162,-2.1382719231302207,0.3976615755805237,-5.377114748913516,7.568893817203013e-08,1.3785413914332272e-06
AL034351.3,2.487905541099083,-1.1049161380994632,0.20552936690755275,-5.3759526179850265,7.617882488055678e-08,1.386871139506386e-06
RPL7P14,1.4496843217594921,-1.1832010184581525,0.22013057357119162,-5.3749962999823735,7.658425476012464e-08,1.3930620373972482e-06
AP001318.3,1.2332249417768804,-2.1299510063404385,0.3965284316314654,-5.37149630753343,7.808596755818904e-08,1.4179573290849844e-06
ARHGEF9-IT1,1.2119429119644127,-1.321358719625795,0.24605550388502895,-5.3701652625629075,7.866452000639154e-08,1.4272469894220523e-06
VAX1,9.159361786113074,-1.7614009441488596,0.3281042342917839,-5.368418813462923,7.942993194223877e-08,1.4392960329278377e-06
AL442071.1,1.032352080760202,-1.6517465240377724,0.3077815746068902,-5.366619253109752,8.022616373256632e-08,1.451255887995859e-06
INA,35.10033108034407,-1.008496243045036,0.18798866381270923,-5.3646652015665595,8.109950429118589e-08,1.4645677005873098e-06
RN7SL760P,1.1377477680449504,-1.7585248732420864,0.32780848607275853,-5.364488559493161,8.117890459454486e-08,1.4653806585831882e-06
HSPA8P3,1.6308224011888213,-1.0954129108881332,0.20420162917560764,-5.364369105723975,8.123264151513569e-08,1.465729868219123e-06
AC011471.2,0.9610032308357721,-1.5236806371652116,0.28430322197276087,-5.359350578556565,8.352163991022399e-08,1.5044838424910549e-06
USP12-AS1,1.1618685458563132,-2.388741802524089,0.4457383951656243,-5.359066727102334,8.365295657031443e-08,1.506212655711969e-06
AC091046.1,0.8854528922620282,-1.4223094821548736,0.2654293234976772,-5.358524308514542,8.390444899029067e-08,1.5101029187150328e-06
PAFAH1B1P1,1.046731555274648,-1.3299058659280354,0.2482643484199046,-5.3568137124492985,8.470237121913859e-08,1.521251731558562e-06
OR2AG1,1.3395702046493343,-1.6266673272210648,0.30384152040364976,-5.353670311615269,8.618783551277972e-08,1.546627099671225e-06
OR9A4,1.1515942926203009,-1.4230788118067905,0.26586104400012994,-5.352716555969347,8.664351413538518e-08,1.553495973469071e-06
RPS15AP13,1.0199366775068277,-2.147195080687774,0.401182622707756,-5.352163725824964,8.690870839903202e-08,1.5569408336520998e-06
RN7SL67P,1.7348472829677242,-1.1114487098598353,0.20770561273291022,-5.351076917160892,8.743234680570273e-08,1.5656635245849768e-06
RN7SL200P,0.9787802904501126,-1.5065044846724787,0.28165864356007336,-5.348688986181122,8.859363425735859e-08,1.585537453072003e-06
AC058823.1,0.8448030026765148,-1.7292454552707144,0.3236999528541427,-5.342124520017777,9.186351405076727e-08,1.640876406257188e-06
AC074024.1,1.181898495286564,-2.1510495669501237,0.4027133655288561,-5.341391051487195,9.223604361259007e-08,1.646840361426467e-06
NLRP10,2.662052051010533,-1.0176958267983935,0.190548162223544,-5.340885028345069,9.249390550012792e-08,1.6507528301967972e-06
AP002762.2,1.2269352371163942,-1.4729513695605343,0.2759322729658546,-5.338090226737651,9.393071527118642e-08,1.6749929515241398e-06
AC067945.3,1.1205305002124257,-1.429813550430881,0.2681108997920471,-5.3329183988412145,9.664674964579951e-08,1.7205462920444151e-06
H2BC14,5.045512519974748,-1.0760243632934487,0.20180985754530179,-5.3318721710702635,9.720535715382764e-08,1.7297683158826641e-06
CPB1,37423.894566438525,-1.3267790799433565,0.2488686599228916,-5.331242111218183,9.75432685442121e-08,1.7350569958621767e-06
AC016245.2,2.1154081353738046,-1.0437370113185285,0.19586035890206577,-5.328985493386227,9.876288399681326e-08,1.755285801943363e-06
SCARNA18,1.3912160964337055,-1.2183371690827052,0.22863003235867158,-5.3288588402568,9.883177086579312e-08,1.7557779251893445e-06
RN7SL16P,1.1748153816674225,-1.7876144506769789,0.33551816489140873,-5.327921518811194,9.934302947005125e-08,1.763390492704754e-06
AL449403.2,5.204149621668996,-1.329611986026949,0.2495743888388797,-5.3275177481665414,9.956405277546218e-08,1.7658428486214824e-06
AC009704.3,0.9613449193823529,-1.5207851169788564,0.2855087400904061,-5.326579902588275,1.0007926604029303e-07,1.7742421960778905e-06
AP002490.2,1.0693159356568462,-1.8792428558419516,0.35302456849393427,-5.323263657991671,1.0192184970815431e-07,1.8031578716113857e-06
AC007621.3,0.8020085928130557,-1.2532732530524673,0.23549894211369884,-5.321778695920371,1.0275753357047288e-07,1.8171881009294537e-06
LINC01090,1.4399289231666728,-1.2321817400840775,0.2315887510847577,-5.320559544937133,1.0344858239076325e-07,1.8278918461492285e-06
PGAM1P6,1.1301026673186532,-1.143844538686778,0.2151025428714384,-5.317670927630206,1.0510393359278698e-07,1.8532993569677238e-06
RTP3,3.263095301041931,-1.844398204221321,0.34691873493350894,-5.3165136918155245,1.0577426681414352e-07,1.8642675079930731e-06
TCAM1P,69.05342522502175,-1.0056021213270199,0.18936765065177225,-5.310316296716483,1.0943514255850936e-07,1.9256880019410037e-06
MTND4P23,1.529419697840485,-1.0200844035172145,0.19212522928502013,-5.309476570637721,1.0994051500643554e-07,1.9337824222283436e-06
AL355303.1,1.0531609805524638,-1.227372951569383,0.23121711864509073,-5.3083134966894585,1.1064422000546835e-07,1.9437535088264863e-06
AC023051.2,0.9190528453423249,-1.8744887269313282,0.3532938587622838,-5.305749535240551,1.12210946478693e-07,1.9672226770775056e-06
PACRG-AS3,1.3128893290373909,-1.399905952418993,0.2639734654710677,-5.303207085306182,1.13785717060881e-07,1.9931909064602088e-06
AL365295.2,1.2935460259205325,-1.1537417078372836,0.2175953432476112,-5.302235289678928,1.1439327029442919e-07,2.003010183516137e-06
AC007598.2,1.6310576176631655,-1.21285108601569,0.22885402237999178,-5.299671263814881,1.1601136999115498e-07,2.0305086561203426e-06
AL450344.2,1.020269758715837,-1.6165558324276788,0.30511359725315246,-5.298209738867927,1.1694359298592056e-07,2.044306394367083e-06
MTCO2P11,1.927026612475063,-1.0175179118052036,0.19209998485821758,-5.2968141176908405,1.1784054285210687e-07,2.0582975802516158e-06
RN7SKP95,0.9841853310026013,-2.072678583378167,0.39152064563084943,-5.293918996375021,1.1972248100426334e-07,2.0877464885109244e-06
AC006254.3,0.9889648654350277,-1.474178581832354,0.27848763319288894,-5.2935154244759355,1.1998711642213965e-07,2.091505486623791e-06
FLG2,3.3087098331554006,-1.1794507290087142,0.22312249495060468,-5.286113035217823,1.249427069361301e-07,2.169015571043148e-06
AC092839.1,1.5908470435396969,-1.064905814461344,0.20147483342926056,-5.285552524530271,1.2532590568448814e-07,2.1738969370643875e-06
RNU5E-4P,0.8255298624677454,-1.6310524851312915,0.3086197590003353,-5.2849904698730565,1.2571130163946412e-07,2.178808444315706e-06
ADCY8,8.727459125965206,-1.08849931814614,0.20598382557989292,-5.284392185074524,1.261228001028365e-07,2.1841640055192155e-06
PDCL3P2,1.0417249401180917,-1.1507771202285617,0.2177839943030296,-5.284029820058054,1.263726670161549e-07,2.187602232153333e-06
RNU1-91P,1.036072958732365,-1.4192089411376811,0.26866525463940766,-5.28244317651901,1.2747237962730476e-07,2.203953487763124e-06
AL132982.1,2.7810538590538365,-1.4354790673715083,0.27177219188904883,-5.281920337006163,1.2783678686027104e-07,2.208846888855669e-06
RN7SL330P,1.183628892896452,-2.064262508703438,0.39085884944913596,-5.281350317672848,1.28235225688866e-07,2.212724957403133e-06
BNIP3P37,1.7380473758775667,-1.0106173664661942,0.19138724257818726,-5.280484492341895,1.2884272978499367e-07,2.2213383093473485e-06
MIR6124,0.9989165121035073,-1.1956691551994068,0.2264922207562801,-5.279073829586501,1.2983848588860637e-07,2.2366962126461256e-06
AL357075.2,2.1106868930346847,-1.4815966594684153,0.2807320981258266,-5.277617591146812,1.3087422113712563e-07,2.2527174598720344e-06
AC013549.1,1.3234138746150343,-1.0376598671752861,0.19663566056086437,-5.277068585706003,1.3126676679564767e-07,2.2576506594284537e-06
AC114930.1,2.0632243123773817,-1.3749543072802863,0.2606147622479303,-5.27581129871781,1.3217003835271307e-07,2.269522507878436e-06
AC079781.1,1.1439045290857544,-1.244470411243266,0.23592992242832259,-5.274745985733735,1.32940093409131e-07,2.280907343399257e-06
AC108449.1,0.9573576498828502,-1.5063264760971602,0.2857094954595365,-5.27223105999462,1.3477524840828728e-07,2.310533512434753e-06
KIRREL1-IT1,1.4873185827779107,-1.4102713551796489,0.26756114090540745,-5.27083772481831,1.358024972772312e-07,2.326272761840159e-06
RPL34P21,0.9973677752513705,-1.5253234522925276,0.28955705850100344,-5.267781970810571,1.38081967040658e-07,2.3596292515259835e-06
AL122034.1,3.535051798868582,-1.5278416880118406,0.2900463162674462,-5.267578322225774,1.3823518907486894e-07,2.360354776915801e-06
CSN3,214.99697344223048,2.0595772837863024,0.3911753146711031,5.265100343864943,1.4011280737211507e-07,2.391456843168671e-06
CUBNP3,1.121766067244037,-1.2679079517517318,0.24081886469450905,-5.2649860024883735,1.402000390826033e-07,2.3919877764857766e-06
TUBB4BP2,1.353691666205958,-1.2858811602115894,0.2444241525061631,-5.2608596451169705,1.4338345512422844e-07,2.4386922212156394e-06
RPL6P24,1.0907362084815335,-1.3336849972302534,0.25353679296620807,-5.2603213191546905,1.4380388498737893e-07,2.443539384391154e-06
AL023775.2,1.044541652114385,-1.2270415035305375,0.2335112806691859,-5.254741869489724,1.4823222444831497e-07,2.5129312544800066e-06
FER1L6-AS2,2.1869173689568164,-1.4669647697946906,0.27925927978974235,-5.253056481772731,1.495956355418382e-07,2.5340287723201916e-06
AC120349.2,1.0090810439673243,-1.8924251531999166,0.3604534809226673,-5.250123118122759,1.5199758525767853e-07,2.572670804645354e-06
AC107896.1,1.061707054489892,-1.6264122318487604,0.31016750966872564,-5.24365764030491,1.574241864458805e-07,2.6585059278382505e-06
BICRA-AS1,2.1518969885117727,-1.1693003869972767,0.22299421830853536,-5.243635444302998,1.5744313479583624e-07,2.6585059278382505e-06
RNA5-8SP6,0.8332069270753244,-1.63871251408286,0.3125863933907276,-5.242430728692972,1.5847489508790612e-07,2.6738090078192684e-06
AC013452.1,1.1394514470433732,-1.2241479160840645,0.23353149513428711,-5.241896453324831,1.589345570432065e-07,2.6805033188066553e-06
