geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KLHDC7B,1214.1297956846931,2.612926814547097,0.2078244948043228,12.572756724404883,2.9814351543646522e-36,3.9548367011521645e-35
RHOD,1725.313659465061,1.1608538038109275,0.09234619611520531,12.570672671375865,3.0610825838101396e-36,4.0581436344201223e-35
PCDHB15,119.212074082709,-1.1963109987855303,0.09518895041501538,-12.56775070604015,3.1763255965942936e-36,4.209708524455981e-35
AC024884.2,6.176478608499037,2.168407323608183,0.17254003068170046,12.567560785986133,3.183963588218133e-36,4.2186139602348915e-35
PPFIA3,911.0332957291932,1.3670089917343036,0.10877845844800217,12.56690902995059,3.210314244765399e-36,4.252300578666323e-35
TNR,59.639311563244505,2.351363230168069,0.18712236371631172,12.56591239801177,3.251027984747706e-36,4.3049872590417796e-35
PRDM8,96.38130508305609,-1.273496644176263,0.10135371922489256,-12.564873335832072,3.29402147259656e-36,4.360661518767709e-35
THRSP,1306.8943100672632,-2.774802767794115,0.22084937638064178,-12.564231845561762,3.320846156921538e-36,4.394905419720685e-35
DRAP1,4405.056838209519,1.104306756617928,0.08795852566413809,12.554857511307393,3.7385364130706154e-36,4.946263546454678e-35
SERPINF1,11780.658294814379,-1.295048419419375,0.10316402098844708,-12.553295296277781,3.8130495503202585e-36,5.043395002861671e-35
CDH7,103.04995285753168,3.5811439506652034,0.28531795902370527,12.551414439242041,3.904721482775467e-36,5.163159362323575e-35
TRPM2,1057.9732309860801,1.249561313461762,0.09955847134562112,12.551029526396213,3.923750175542245e-36,5.18533465644393e-35
AC093890.1,9.510489962326648,-1.447761189246243,0.1153498670280918,-12.551043417272961,3.923061860933693e-36,5.18533465644393e-35
UQCC3,379.16062687171143,1.0830162507428547,0.08629249035721044,12.55052723892514,3.948720097117992e-36,5.216831789987041e-35
TCTEX1D2,90.17005172854277,1.1278394976236048,0.08987588233340815,12.548855914868396,4.0329480655114385e-36,5.32504525625307e-35
ASIC3,130.49810297885952,1.6274356376335564,0.1296906581323662,12.548595720537918,4.046220457803813e-36,5.34103426512574e-35
LINC01136,19.27322712179089,1.8643817021523137,0.14858923729820617,12.547219004904477,4.117171879785841e-36,5.433128857339229e-35
MASP2,75.46277736360054,-1.3557450570010838,0.10806369183448887,-12.54579622430032,4.191796587522135e-36,5.530016509301321e-35
RNF139-AS1,216.60798900786065,1.2404201369684955,0.09887619104038839,12.545185285928092,4.224251314278034e-36,5.571231852544232e-35
IL27,14.023521954023542,1.7426117343418108,0.13891881900943825,12.54410127272545,4.282452878493053e-36,5.646370471979227e-35
PKIB,2952.638500285389,1.8532733446557046,0.1477760921552335,12.541090494590339,4.44831781916144e-36,5.861695816624127e-35
LRCH2,145.4175546017708,-1.2948528119309248,0.10324966919369274,-12.54098751156119,4.4541027207904054e-36,5.867635090271308e-35
BOK-AS1,7.123769337797248,-2.7941404053206154,0.2228035736272291,-12.540824008485023,4.463302597234478e-36,5.878068401858299e-35
TIGD5,827.5562007672544,1.0298594695271832,0.08213101942963424,12.539226673175722,4.554179660621824e-36,5.996031896638074e-35
LINC01977,264.15217177149134,1.864365156179767,0.14869004443733982,12.538601109675758,4.590268776427352e-36,6.041814646599979e-35
DNM1P47,4.715583846724211,-1.991536169323715,0.15887270598528688,-12.53542046113415,4.7782051053140946e-36,6.287378597459575e-35
DENND2C,183.49473945114246,-1.2729879090882374,0.10155548220563847,-12.534900937308137,4.8096206953355325e-36,6.326903786648344e-35
HSPBP1,2359.795940442295,1.007760873043309,0.08044486666045154,12.52734841735708,5.2901947015993696e-36,6.957090815622791e-35
HMX2,11.032547178467926,5.125144708400687,0.4091439895173151,12.526506168273526,5.3466609688110425e-36,7.027324317993976e-35
AL138789.1,3.30867815493596,3.257388303288444,0.26005540090377577,12.525747559819857,5.3980322415652415e-36,7.09281358024036e-35
GOLGA8K,3.4011665708515753,-1.6072407726563178,0.12832036197209426,-12.525220066055015,5.43404175603906e-36,7.138086371927395e-35
GPR160,2869.6085162900667,1.3449692131287725,0.10739324602981569,12.523778383189642,5.533681006424257e-36,7.26481511886853e-35
KIAA1614,190.98554471278328,-1.094195419826307,0.08736987707130264,-12.523714768802217,5.538119176980688e-36,7.268563788639158e-35
REV3L,1853.152857258353,-1.01340283797227,0.08093206843799775,-12.521647568523969,5.68428227124946e-36,7.45826556407397e-35
